"ECOZONE","ZONE_NAME","ZONE_NOM","ZONE_NAME_ORIG"
1,"Arctic Cordillera","Cordillère arctique","Arctic Cordillera"
2,"Northern Arctic","Haut-Arctique","Northern Arctic"
3,"Southern Arctic","Bas-Arctique","Southern Arctic"
4,"Taiga Plains","Taïga des plaines","Taiga Plain"
5,"Taiga Shield","Taïga du Bouclier","Taiga Shield"
6,"Boreal Shield","Bouclier boréal","Boreal Shield"
7,"Atlantic Maritime","Maritime de l'Atlantique","Atlantic Maritime"
8,"MixedWood Plains","Plaines à forêts mixtes","MixedWood Plain"
9,"Boreal Plains","Plaines boréales","Boreal PLain"
10,"Prairies","Prairies","Prairie"
11,"Taiga Cordillera","Cordillère de la Taïga","Taiga Cordillera"
12,"Boreal Cordillera","Cordillère boréale","Boreal Cordillera"
13,"Pacific Maritime","Maritime du Pacifique","Pacific Maritime"
14,"Montane Cordillera","Cordillère montagnarde","Montane Cordillera"
15,"Hudson Plains","Plaines hudsonniennes","Hudson Plain"
